,title,agency,date
81,"['Freak 6,500% Spike in Gold ETF Spurs India’s NSE to Scrap Trades']",https://www.bloomberg.com/news/articles/2020-07-24/freak-6-500-spike-in-gold-etf-spurs-india-s-nse-to-scrap-trades?srnd=markets-vp,2020-07-24
82,['UPDATE 2-Russian central bank cuts key rate to record low of 4.25%'],https://www.reuters.com/article/russia-economy-rates/update-2-russian-central-bank-cuts-key-rate-to-record-low-of-4-25-idUSL5N2EV206,2020-07-24
83,"[""Individual investors a 'big part' of the market over last few months, NYSE president says""]",https://www.cnbc.com/2020/07/24/individual-investors-a-big-part-of-the-market-over-last-few-months-nyse-president-says.html,2020-07-24
84,['U.S. new home sales beat expectations in June'],https://www.reuters.com/article/usa-economy-housing/u-s-new-home-sales-beat-expectations-in-june-idUSL2N2EU1UU,2020-07-24
85,['Goldman Sachs agrees to $3.9 billion deal with Malaysia to settle criminal probe into 1MDB scandal'],https://www.cnbc.com/2020/07/24/goldman-sachs-agrees-to-3point9-billion-deal-with-malaysia-to-settle-criminal-probe-into-1mdb-scandal.html,2020-07-24
86,['U.S. June New-Home Sales Surge to Highest in Almost 13 Years'],https://www.bloomberg.com/news/articles/2020-07-24/u-s-june-new-home-sales-surge-to-highest-in-almost-13-years?srnd=markets-vp,2020-07-24
87,"['Millions of Americans are unemployed, we need to make it easier for them to get back to work']",https://www.foxbusiness.com/markets/americans-unemployed-get-to-work,2020-07-24
88,['Aeromexico to pay 30% of interest due on stock certificate'],https://www.reuters.com/article/aeromexico-debt/aeromexico-to-pay-30-of-interest-due-on-stock-certificate-idUSL2N2EV0OK,2020-07-24
89,['UPDATE 4-Goldman Sachs agrees $3.9 bln 1MDB settlement with Malaysia'],https://www.reuters.com/article/malaysia-politics-1mdb-goldmansachs/update-4-goldman-sachs-agrees-3-9-bln-1mdb-settlement-with-malaysia-idUSL3N2EV21A,2020-07-24
90,['Fox Suddenly Cuts Away From White House Press Briefing After Portland Violence Shown'],http://feedproxy.google.com/~r/zerohedge/feed/~3/DF7Xpepixpc/fox-suddenly-cuts-away-white-house-press-briefing-after-portland-violence-shown,2020-07-24
91,['New Home Sales Blast Higher Despite Floundering Jobs'],https://www.thestreet.com/mishtalk/economics/new-home-sales-blast-higher-despite-floundering-jobs,2020-07-24
92,['WaPo Settles $250 Million Lawsuit With Covington Teen Nick Sandmann'],http://feedproxy.google.com/~r/zerohedge/feed/~3/xczt1Ho1PEI/wapo-settles-250-million-lawsuit-covington-teen-nick-sandmann,2020-07-24
93,['A Bridge To Nowhere Good'],http://feedproxy.google.com/~r/zerohedge/feed/~3/yvagiR_GEz8/bridge-nowhere-good,2020-07-24
94,"['""Shut The Eff Up Forever"" - Morning Show Host Slams Biden For Calling Trump ""The First Racist President""']",http://feedproxy.google.com/~r/zerohedge/feed/~3/QZ4YuLpkTSQ/shut-eff-forever-morning-show-host-slams-biden-after-vp-calls-trump-first-racist,2020-07-24
95,['Navigating The Tech Bubble & Living To Tell About It'],http://feedproxy.google.com/~r/zerohedge/feed/~3/ecrb7S7GR7s/navigating-tech-bubble-living-tell-about-it,2020-07-24
96,['Goldman Anticipates 50% Cut To Unemployment Supplement'],http://feedproxy.google.com/~r/zerohedge/feed/~3/1GpoMld-Zvc/goldman-anticipates-50-cut-unemployment-supplement,2020-07-24
97,['July Vehicle Sales Forecast: 16% Year-over-year Decline'],http://feedproxy.google.com/~r/CalculatedRisk/~3/dqVJ5-7vnMM/july-vehicle-sales-forecast-16-year.html,2020-07-24
98,"['Jim Grant ""Confidently Bullish"" Gold & Silver Amid ""Unprecedented Monetary Moment""']",http://feedproxy.google.com/~r/zerohedge/feed/~3/oBBY4co2G84/jim-grant-confidently-bullish-gold-silver-amid-unprecedented-monetary-moment,2020-07-24
99,"[""Gunshot To Head, Parkinson's Disease, Deaths In Palm Beach Incorrectly Attributed To COVID-19""]",http://feedproxy.google.com/~r/zerohedge/feed/~3/Yhdsdsnte3I/gunshot-head-parkinsons-disease-deaths-palm-beach-incorrectly-attributed-covid-19,2020-07-24
100,['Friday links: auditing frauds'],http://feedproxy.google.com/~r/abnormalreturns/~3/JgvL0M-pZ-E/,2020-07-24
101,"['More Than 1,000 People Could Access Twitter\'s ""God Mode""']",http://feedproxy.google.com/~r/zerohedge/feed/~3/lplYQwvLhCc/more-1000-people-could-access-twitters-god-mode,2020-07-24
102,['Q2 GDP Forecasts: Probably Around 35% Annual Rate Decline'],http://feedproxy.google.com/~r/CalculatedRisk/~3/NUsuPnCtCl0/q2-gdp-forecasts-probably-around-35_24.html,2020-07-24
103,['Podcast links: lightening the mood'],http://feedproxy.google.com/~r/abnormalreturns/~3/dbN98a3OlnM/,2020-07-24
104,['Florida COVID-19 Cases Top 400k Amid Record Jump In Hospitalizations: Live Updates'],http://feedproxy.google.com/~r/zerohedge/feed/~3/bpRJfg29yQM/spanish-officials-panic-barcelona-covid-19-outbreak-intensifies-us-suffers-3rd-day-1k,2020-07-24
105,['A few Comments on June New Home Sales'],http://feedproxy.google.com/~r/CalculatedRisk/~3/QG7t_FpsafY/a-few-comments-on-june-new-home-sales.html,2020-07-24
106,"['New Home Sales increased to 776,000 Annual Rate in June']",http://feedproxy.google.com/~r/CalculatedRisk/~3/Kg7sZruMKZg/new-home-sales-increased-to-776000.html,2020-07-24
107,['Black Knight: Number of Homeowners in COVID-19-Related Forbearance Plans Increased Slightly'],http://feedproxy.google.com/~r/CalculatedRisk/~3/PFGuIaDVNl8/black-knight-number-of-homeowners-in_24.html,2020-07-24
108,['An Acceleration In Startups and SPACS and The Bear Market in Cargo Pants'],https://howardlindzon.com/an-acceleration-in-startups-and-spacs-and-the-bear-market-in-cargo-pants/,2020-07-24
109,['Strong Eurozone PMI Further Boosting the Euro'],http://vantagepointtrading.com/strong-eurozone-pmi-further-boosting-the-euro/,2020-07-24
110,['Impressive Retail Sales in the United Kingdom'],http://vantagepointtrading.com/impressive-retail-sales-in-the-united-kingdom/,2020-07-24
111,['Controversial Gold Advocate Advances for a Fed Appointment'],https://www.thestreet.com/mishtalk/economics/controversial-gold-advocate-advances-for-a-fed-appointment,2020-07-24
112,['Friday: New Home Sales'],http://feedproxy.google.com/~r/CalculatedRisk/~3/nOG4QH9vgRk/friday-new-home-sales.html,2020-07-24
113,['July 23 COVID-19 Test Results'],http://feedproxy.google.com/~r/CalculatedRisk/~3/VqLHEe3Busw/july-23-covid-19-test-results.html,2020-07-24
114,['Over 30 Million People About to Lose $600 in Unemployment Benefits'],https://www.thestreet.com/mishtalk/economics/over-30-million-people-about-to-lose-600-in-unemployment-benefits,2020-07-24
115,"['NMHC: ""July Apartment Market Conditions Showed Continued Impact of COVID-19 Outbreak""']",http://feedproxy.google.com/~r/CalculatedRisk/~3/9GLaqTrLrN0/nmhc-july-apartment-market-conditions.html,2020-07-24
116,['Thursday links: selling experiences'],http://feedproxy.google.com/~r/abnormalreturns/~3/d5VyRqPCgy8/,2020-07-24
117,"['Kansas City Fed: ""Tenth District Manufacturing Activity Continued to Grow Slightly"" in July']",http://feedproxy.google.com/~r/CalculatedRisk/~3/eEHsD_6RY28/kansas-city-fed-tenth-district.html,2020-07-24
118,['Unemployment Claims Rise for the First Time in 4 Months'],https://www.thestreet.com/mishtalk/economics/unemployment-claims-rise-for-the-first-time-in-4-months,2020-07-24
119,['What’s the Outlook for WTI Crude Oil Prices?'],https://marketrealist.com/2020/07/whats-outlook-wti-crude-oil-prices/,2020-07-24
120,['Hotels: Occupancy Rate Declined 39% Year-over-year'],http://feedproxy.google.com/~r/CalculatedRisk/~3/hnMymbs-ea8/hotels-occupancy-rate-declined-39-year.html,2020-07-24
121,"['AT&T’s Q2 Earnings Beat Forecasts, Stock Up']",https://marketrealist.com/2020/07/atts-q2-earnings-beat-forecasts-stock-up/,2020-07-24
122,['Longform links: a cash challenge'],http://feedproxy.google.com/~r/abnormalreturns/~3/Zyf02g4WCbM/,2020-07-24
123,['Will Altria’s Q2 Earnings Be a Boom or Bust?'],https://marketrealist.com/2020/07/will-altrias-q2-earnings-be-boom-bust/,2020-07-24
124,['Buffett Never Went Away: His Measured Actions Suggest It May Be Time For Berkshire'],https://seekingalpha.com/article/4360037-buffett-never-went-away-measured-actions-suggest-may-be-time-for-berkshire?source=feed_tag_editors_picks,2020-07-24
125,"['Twitter’s Q2 Earnings: Strongest Audience Growth, 23% Ad Revenue Drop']",https://marketrealist.com/2020/07/twitters-q2-earnings-strongest-audience-growth-ad-revenue-drop/,2020-07-24
126,['H&C Quarterly Commentary – 2Q 2020'],http://feedproxy.google.com/~r/thedisciplinedinvestor/EBHR/~3/Q2exXz8TkKE/,2020-07-24
127,"['Retirement Strategy: Blue Skies For Dividend Growth Investors, More Storms Ahead For Savers']",https://seekingalpha.com/article/4360165-retirement-strategy-blue-skies-for-dividend-growth-investors-storms-ahead-for-savers?source=feed_tag_editors_picks,2020-07-24
128,"[""Student Housing: School's Out Forever""]",https://seekingalpha.com/article/4360159-student-housing-schools-out-forever?source=feed_tag_editors_picks,2020-07-24
129,['TWO ‘Panic With Friends’- Joe Marchese Of Attention Capital and Scott Lynn Founder of Masterworks'],https://howardlindzon.com/two-panic-with-friends-joe-marchese-of-attention-capital-and-scott-lynn-founder-of-masterworks/,2020-07-24
130,['What Investors Can Expect from Pinterest’s Q2 Earnings'],https://marketrealist.com/2020/07/what-investors-can-expect-pinterests-q2-earnings/,2020-07-24
131,['Should You Buy eBay Stock before Its Earnings Report?'],https://marketrealist.com/2020/07/should-you-buy-ebay-stock-before-earnings-report/,2020-07-24
132,['United Airlines’ Q2 Results Paint Bleak Outlook for Airlines'],https://marketrealist.com/2020/07/united-airlines-q2-results-bleak-outlook-airlines/,2020-07-24
133,['Crypto – Is It Safe to Trade It?'],http://vantagepointtrading.com/crypto-is-it-safe-to-trade-it/,2020-07-24
134,['Slack Sues Microsoft: What Does Wall Street Say about the Stocks?'],https://marketrealist.com/2020/07/slack-sues-microsoft-wall-street-say-stocks/,2020-07-24
135,['Could BaaS Be the Next ‘Big Killer’ for NIO?'],https://marketrealist.com/2020/07/baas-next-big-killer-for-nio-stock/,2020-07-24
136,"['Microsoft Earnings Beat Forecasts, Stock Still Falls']",https://marketrealist.com/2020/07/microsoft-earnings-beat-forecasts-stock-still-falls/,2020-07-24
137,['Record Home Sales in the United States'],http://vantagepointtrading.com/record-home-sales-in-the-united-states/,2020-07-24
138,['Gold Has Only One Resistance Point Left: The All-Time High'],https://www.thestreet.com/mishtalk/economics/gold-has-only-one-resistance-point-left-the-all-time-high,2020-07-24
139,['These 9 Silver Miners Are A Basket Of Opportunity'],https://seekingalpha.com/article/4360107-9-silver-miners-are-basket-of-opportunity?source=feed_tag_editors_picks,2020-07-24
140,['S&P Nudges Breakout'],http://feedproxy.google.com/~r/FallondStockPicks/~3/YvoJrOuwysI/s-nudges-breakout.html,2020-07-24
141,['More Than Half of Business Closures are Permanent'],https://www.thestreet.com/mishtalk/economics/more-than-half-of-business-closures-are-permanent,2020-07-24
142,"['US Accuses China of Spying, Closes Consulate in Houston']",https://www.thestreet.com/mishtalk/economics/us-accuses-china-of-spying-closes-consulate-in-houston,2020-07-24
143,"['Philip Morris: IQOS Firing On All Cylinders In H1, Reiterate Buy']",https://seekingalpha.com/article/4359913-philip-morris-iqos-firing-on-all-cylinders-in-h1-reiterate-buy?source=feed_tag_editors_picks,2020-07-24
144,['Wednesday links: endless scrolling'],http://feedproxy.google.com/~r/abnormalreturns/~3/Qlt7vnzu_VM/,2020-07-24
145,['Existing Home Sales Surge Most On Record But Still Down From Last Year'],https://www.thestreet.com/mishtalk/economics/existing-home-sales-surge-most-on-record-but-still-down-from-last-year,2020-07-24
146,"[""Micron: I'm Ready To Be Bullish Again""]",https://seekingalpha.com/article/4359900-micron-ready-to-be-bullish-again?source=feed_tag_editors_picks,2020-07-24
147,['Personal finance links: understanding the basics'],http://feedproxy.google.com/~r/abnormalreturns/~3/ObqsrGJzOI8/,2020-07-24
148,['Wrap Technologies Batman Device Is Mostly Impractical In The Real World - $3 Price Target'],https://seekingalpha.com/article/4359849-wrap-technologies-batman-device-is-mostly-impractical-in-real-world-3-price-target?source=feed_tag_editors_picks,2020-07-24
149,['Kamada: Under-The-Radar COVID-19 Therapy Play With Downside Protection And Margin Of Safety'],https://seekingalpha.com/article/4359884-kamada-under-radar-covidminus-19-therapy-play-downside-protection-and-margin-of-safety?source=feed_tag_editors_picks,2020-07-24
150,['Why Are Your Strengths Important To Your Trading?'],http://traderfeed.blogspot.com/2020/07/why-are-your-strengths-important-to.html,2020-07-24
151,['What Keeps the US Stock Market Up?'],http://vantagepointtrading.com/what-keeps-the-us-stock-market-up/,2020-07-24
152,['Fat Nixon Pivots'],https://howardlindzon.com/fat-nixon-pivots/,2020-07-24
153,['Australian Retail Sales Improved in June'],http://vantagepointtrading.com/australian-retail-sales-improved-in-june/,2020-07-24
154,['A Short Squeeze Can Push These Gold And Silver Miners Even Higher'],https://seekingalpha.com/article/4359802-short-squeeze-can-push-gold-and-silver-miners-even-higher?source=feed_tag_editors_picks,2020-07-24
155,['DHUnplugged #515: Road Rubber'],http://feedproxy.google.com/~r/thedisciplinedinvestor/EBHR/~3/gIQGLiZ86Lw/,2020-07-24
156,['Iran and China on Verge of a Huge Deal - Thank Trump'],https://www.thestreet.com/mishtalk/economics/iran-and-china-on-verge-of-a-huge-deal-thank-trump,2020-07-24
157,"[""The EU's Stimulus Package Fails Three Ways""]",https://www.thestreet.com/mishtalk/economics/the-eus-stimulus-package-fails-three-ways,2020-07-24
158,['Tuesday links: frustrated active managers'],http://feedproxy.google.com/~r/abnormalreturns/~3/BvBUP0k2U50/,2020-07-24
159,['The Evils of Government Statistics'],http://feedproxy.google.com/~r/dailyreckoning/~3/wjCVvhm56nM/,2020-07-24
160,['Jamf: The Apple Enterprise Software Company'],https://seekingalpha.com/article/4359639-jamf-apple-enterprise-software-company?source=feed_tag_editors_picks,2020-07-24
161,['Research links: diversifiable risks'],http://feedproxy.google.com/~r/abnormalreturns/~3/6xKEWeiXSeg/,2020-07-24
162,['My Favorite Investing Book'],https://howardlindzon.com/my-favorite-investing-book/,2020-07-24
163,['Deal Reached at the EU Summit'],http://vantagepointtrading.com/deal-reached-at-the-eu-summit/,2020-07-24
164,['How are traders navigating recent Stock Market Volatility?'],http://vantagepointtrading.com/how-are-traders-navigating-recent-stock-market-volatility/,2020-07-24
165,['S&P Edging a Breakout?'],http://feedproxy.google.com/~r/FallondStockPicks/~3/BS53tm6Rbt4/s-edging-breakout.html,2020-07-24
166,['“Don’t Fight the Narrative”'],http://feedproxy.google.com/~r/dailyreckoning/~3/e_DwNJCyqps/,2020-07-24
167,['Monday links: the real scarcity'],http://feedproxy.google.com/~r/abnormalreturns/~3/KRtkWqyCt9A/,2020-07-24
168,['Adviser links: digital primacy'],http://feedproxy.google.com/~r/abnormalreturns/~3/0iKgBka17yw/,2020-07-24
169,['Momentum Monday – From Frothy To Constructive'],https://howardlindzon.com/momentum-monday-from-frothy-to-constructive/,2020-07-24
170,['Controlled Aggression: Trading Like A Sniper'],http://traderfeed.blogspot.com/2020/07/controlled-aggression-trading-like.html,2020-07-24
171,['Still waiting for S&P and Russell 2000 Breakouts'],http://feedproxy.google.com/~r/FallondStockPicks/~3/AWeogQRaryg/still-waiting-for-s-and-russell-2000.html,2020-07-24
172,['Have a Laugh…'],https://howardlindzon.com/have-a-laugh/,2020-07-24
173,['TDI Podcast: The Best Bear Market (#671)'],http://feedproxy.google.com/~r/thedisciplinedinvestor/EBHR/~3/yuiR3MHj8Ko/,2020-07-24
174,['Am I Wearing Pants?…And Drones'],https://howardlindzon.com/am-i-wearing-pants-and-drones/,2020-07-24
175,['A Few Big Ideas For The Weekend'],http://traderfeed.blogspot.com/2020/07/a-few-big-ideas-for-weekend.html,2020-07-24
176,['Some Good Reads…'],https://howardlindzon.com/some-good-reads-2/,2020-07-24
177,['Russell 2000 Readies For Breakout'],http://feedproxy.google.com/~r/FallondStockPicks/~3/KIYM86OB9C8/russell-2000-readies-for-breakout.html,2020-07-24
178,['Americans Are Getting Out of Dodge'],http://feedproxy.google.com/~r/dailyreckoning/~3/3_501zxFRrM/,2020-07-24
179,"['Brown Weeds, Not Green Shoots']",http://feedproxy.google.com/~r/dailyreckoning/~3/PUcprWv5ge8/,2020-07-24
